Date,Source,Brand,Product Name,RRP,Selling Price
31/8/2019,Broadway,BLACK SHARK,BLACK SHARK 2 (256GB),5298,4798
31/8/2019,Broadway,SAMSUNG,SAMSUNG A8+ (64GB),4398,3798
31/8/2019,Broadway,HTC,HTC DESIRE 12+ (32GB),1998,1598
31/8/2019,Broadway,HTC,HTC U11+ (128GB),5598,4998
31/8/2019,Broadway,HUAWEI,HUAWEI MATE 20 (128GB),4688,3988
31/8/2019,Broadway,HUAWEI,HUAWEI MATE 20 PRO (128GB),5988,5988
31/8/2019,Broadway,HUAWEI,HUAWEI MATE 20X (128GB),5488,5488
31/8/2019,Broadway,HUAWEI,HUAWEI NOVA 3 (128GB),3588,2988
31/8/2019,Broadway,HUAWEI,HUAWEI P30 (128GB),4288,4088
31/8/2019,Broadway,HUAWEI,HUAWEI P30 LITE (128GB),2388,2388
31/8/2019,Broadway,HUAWEI,HUAWEI P30 PRO (256GB),5988,5498
31/8/2019,Broadway,HUAWEI,HUAWEI P30 PRO (512GB),6988,6398
31/8/2019,Broadway,HUAWEI,HUAWEI Y6 PRIME (32GB),1358,1358
31/8/2019,Broadway,HUAWEI,HUAWEI Y7 PRO(32GB),1558,1558
31/8/2019,Broadway,HUAWEI,HUAWEI Y9 (64GB),1688,1688
31/8/2019,Broadway,HUAWEI,HUAWEI Y9 PRIME (128GB),1888,1888
31/8/2019,Broadway,HUAWEI,HUAWEI NOVA 3I (128GB),2288,2288
31/8/2019,Broadway,HONOR,HONOR VIEW 20 (128GB),4099,3499
31/8/2019,Broadway,HONOR,HONOR VIEW 20 (256GB),4899,4199
31/8/2019,Broadway,LENOVO,LENOVO S5 (64GB),1399,1399
31/8/2019,Broadway,HUAWEI,HUAWEI MATE 10 PRO (128GB),5580,4680
31/8/2019,Broadway,NOKIA,NOKIA 3.2 (32GB),1298,1298
31/8/2019,Broadway,NOKIA,NOKIA 4.2 (32GB),1288,1188
31/8/2019,Broadway,NOKIA,NOKIA 7 PLUS (64GB),3288,1988
31/8/2019,Broadway,NOKIA,NOKIA 8.1 (64GB),3388,2498
31/8/2019,Broadway,NOKIA,NOKIA 8.1 (128GB),3288,2698
31/8/2019,Broadway,NOKIA,NOKIA 5.1 PLUS (32GB),1588,1398
31/8/2019,Broadway,NOKIA,NOKIA 9 PUREVIEW (128GB),4988,3998
31/8/2019,Broadway,SAMSUNG,SAMSUNG A20 (32GB),1498,1398
31/8/2019,Broadway,SAMSUNG,SAMSUNG A60 (128GB),2498,2498
31/8/2019,Broadway,SAMSUNG,SAMSUNG A70 (6GB),3098,2798
31/8/2019,Broadway,SAMSUNG,SAMSUNG A80 (128GB),4798,4298
31/8/2019,Broadway,SAMSUNG,SAMSUNG A8S (128GB),3298,2308
31/8/2019,Broadway,SAMSUNG,SAMSUNG A9 (128GB),3598,3598
31/8/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10 (256GB),6998,6998
31/8/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (256GB),7998,7998
31/8/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (512GB),8998,8998
31/8/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (128GB),7698,5998
31/8/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (512GB),9798,7998
31/8/2019,Broadway,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
31/8/2019,Broadway,SAMSUNG,SAMSUNG S10+ (1TB),11998,11998
31/8/2019,Broadway,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
31/8/2019,Broadway,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
31/8/2019,Broadway,SONY,SONY XPERIA 1 (128GB),6999,5999
31/8/2019,Broadway,SONY,SONY XPERIA 10 (64GB),2499,1999
31/8/2019,Broadway,SONY,SONY XPERIA 10 PLUS (64GB),2999,2599
31/8/2019,Broadway,SONY,SONY XPERIA L3 (32GB),1599,1599
31/8/2019,Broadway,HUAWEI,HUAWEI Y7 PRIME (32GB),1458,1458
31/8/2019,Broadway,ASUS,ASUS ZENFONE MAX M1 (32GB),1598,1598
1/9/2019,Broadway,BLACK SHARK,BLACK SHARK 2 (256GB),5298,4798
1/9/2019,Broadway,SAMSUNG,SAMSUNG A8+ (64GB),4398,3798
1/9/2019,Broadway,HTC,HTC DESIRE 12+ (32GB),1998,1598
1/9/2019,Broadway,HTC,HTC U11+ (128GB),5598,4998
1/9/2019,Broadway,HUAWEI,HUAWEI MATE 20 (128GB),4688,3988
