Date,Source,Brand,Product Name,RRP,Selling Price
31/8/2019,Fortress,NOKIA,NOKIA 106 DS,199,199
31/8/2019,Fortress,BLACK SHARK,BLACK SHARK 2 (128GB),4398,3660
31/8/2019,Fortress,BLACK SHARK,BLACK SHARK 2 (256GB),5298,4898
31/8/2019,Fortress,NOKIA,NOKIA 3.1 PLUS,1688,949
31/8/2019,Fortress,NOKIA,NOKIA 3310,568,568
31/8/2019,Fortress,NOKIA,NOKIA 4.2 (32GB),1288,1188
31/8/2019,Fortress,NOKIA,NOKIA 5.1 PLUS (32GB),1588,1188
31/8/2019,Fortress,NOKIA,NOKIA 8.1 (128GB),3288,2698
31/8/2019,Fortress,NOKIA,NOKIA 8.1 (64GB),2798,2498
31/8/2019,Fortress,NOKIA,NOKIA 8110 4G,698,698
31/8/2019,Fortress,MI,MI 9T PRO (256GB),3599,3599
31/8/2019,Fortress,MI,MI 9T (128GB),2499,2499
31/8/2019,Fortress,MI,MI A3 (128GB),1799,1799
31/8/2019,Fortress,SUGAR,SUGAR C11,1898,1139
31/8/2019,Fortress,SUGAR,SUGAR C11S,1498,899
31/8/2019,Fortress,SUGAR,SUGAR F9 (64GB),2098,1259
31/8/2019,Fortress,LG,LG G7 FIT (64GB),2998,1999
31/8/2019,Fortress,SAMSUNG,SAMSUNG A20 (32GB),1498,1398
31/8/2019,Fortress,SAMSUNG,SAMSUNG A40S (64GB),2198,2198
31/8/2019,Fortress,SAMSUNG,SAMSUNG A60 (128GB),2498,2298
31/8/2019,Fortress,SAMSUNG,SAMSUNG A7,2598,2498
31/8/2019,Fortress,SAMSUNG,SAMSUNG A70 (6GB),3098,2798
31/8/2019,Fortress,SAMSUNG,SAMSUNG A70 (8GB),3498,3298
31/8/2019,Fortress,SAMSUNG,SAMSUNG A8 STAR,3698,2498
31/8/2019,Fortress,SAMSUNG,SAMSUNG A80 (128GB),4798,4298
31/8/2019,Fortress,SAMSUNG,SAMSUNG A8S (128GB),3298,2898
31/8/2019,Fortress,SAMSUNG,SAMSUNG A9 (128GB),3598,2888
